	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
126	HG02769	HG02769_20220104_UL_eee-prom1-1A-PAK51816_guppy-5.0.11-sup-prom_fastq_pass	329681	27231605189	82599.8622577583	42679	180500	21	1582414	106933.381283978	245540	26930927663	94343	20182783985	24	26484962	13.581472076308	13.4637627506941	60
127	HG02769	HG02769_20210826_UL_eee-prom1-2C-PAH62122_guppy-5.0.11-sup-prom_fastq_pass	356058	22975324830	64526.9164855164	43726	121446	10	1037118	69800.4369674121	268222	22768091166	84127	13969676163	1	1037118	13.1363220248846	13.0037693637133	60
128	HG03452	HG03452_20210915_UL_eee-prom1-3C-PAH79890_guppy-5.0.11-sup-prom_fastq_pass	2687	73857069	27486.8139188686	3664	142161	70	861108	65961.6341144766	863	69320146	238	47543535	0	0	13.3404211409499	13.0565227429848	47.8561944802693
129	HG03452	HG03452_20210913_UL_eee-prom1-1C-PAH74171_guppy-5.0.11-sup-prom_fastq_pass	8787	229712118	26142.2690337999	3380	121903	26	538886	53880.3423262936	2781	213798319	799	137271488	0	0	12.4642364994391	12.0663451908621	49.1486160305225
130	HG03452	HG03452_20210908_UL_eee-prom1-2H-PAH74171_guppy-5.0.11-sup-prom_fastq_pass	397211	12710154905	31998.4967813077	3658	186471	12	2915676	82464.4433286161	119891	11913665503	39099	9054016895	149	190858611	14.1208473950438	14.054839574618	58.4098746038178
131	HG03452	HG03452_20211006_UL_eee-prom1-3D-PAI05003_guppy-5.0.11-sup-prom_fastq_pass	1473388	35332461326	23980.4188211116	4670	88563	16	2399643	50016.3685745076	555700	32982629793	90264	15956925605	89	112348733	13.7811445268378	13.6797916851954	54.5252995177481
132	HG03452	HG03452_20210908_UL_eee-prom1-2G-PAH61824_guppy-5.0.11-sup-prom_fastq_pass	852475	38455402495	45110.2994164052	6659	182023	14	1366244	89601.5645007507	376992	37194742876	122566	27398126622	50	54569212	13.894591206425	13.8895009134601	60
133	HG03452	HG03452_20211202_UL_eee-prom1-1H-PAI20041_guppy-5.0.11-sup-prom_fastq_pass	74038	5632064611	76069.9182987115	52242	137048	137	859351	77700.7638317181	60233	5579092020	21219	3732938414	0	0	13.0878077541933	12.8827696470241	54.4015958158433
134	HG03452	HG03452_20210928_UL_eee-prom1-3F-PAH79890_guppy-5.0.11-sup-prom_fastq_pass	234253	4677528555	19967.849099051	1961	95557	13	3425868	55089.1756921726	66859	4365629013	12186	2248581050	74	110560032	13.2803531745905	13.0938248772596	60
135	HG03452	HG03452_20210913_UL_eee-prom1-1B-PAH61824_guppy-5.0.11-sup-prom_fastq_pass	79162	5548633030	70092.1279149087	42804	137192	22	904426	81171.4222535869	60802	5485720153	19624	3599390716	0	0	12.8895931936685	12.6735664101183	60
136	HG03452	HG03452_20211130_UL_eee-prom1-1H-PAI20041_guppy-5.0.11-sup-prom_fastq_pass	414094	25500042625	61580.3238515892	28136	144222	45	1205307	82369.6127797616	282160	25025526612	88456	16835998160	6	6355252	14.394770912255	14.4107872305539	60
137	HG03452	HG03452_20211019_UL_eee-prom1-3B-PAI05201_guppy-5.0.11-sup-prom_fastq_pass	1666707	38310482124	22985.7330196609	3973	90071	10	1737059	47228.876221996	582582	35595214268	102549	17413215056	25	29630403	13.9519253887791	13.864983521518	55.6549847271243
139	HG02554	HG02554_20211117_UL_eee-prom1-3B-PAI19455_guppy-5.0.11-sup-prom_fastq_pass	36324	620644916	17086.3593216606	689	129408	28	1474416	49189.9724975583	7261	586646150	2009	375614028	1	1474416	13.2454865500711	12.9357964110329	55.4982959422025
140	HG02554	HG02554_20211207_UL_eee-prom1-1E-PAI55647_guppy-5.0.11-sup-prom_fastq_pass	569353	32461740428	57015.1389875877	20255	154143	30	1227555	86084.9577188288	355355	31742859986	107568	21764060002	5	5489135	14.2699226987963	14.295134237872	60
141	HG02554	HG02554_20211116_UL_eee-prom1-3D-PAI19205_guppy-5.0.11-sup-prom_fastq_pass	778739	17673284158	22694.7464529194	1146	136202	10	1730596	57895.8531085877	202109	16836199554	57258	11043174851	39	46040442	14.0121898277368	13.8197725602348	60
142	HG02554	HG02554_20211117_UL_eee-prom1-3D-PAI19205_guppy-5.0.11-sup-prom_fastq_pass	152425	4615507323	30280.5138461538	1633	134760	22	1435815	63351.3051441404	51974	4472054112	15985	2936474626	9	10403544	13.6031175641214	13.3334833982788	54.8754213565631
