SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
HG03732	20220503_220428_21-lee-006_PC24B149_3F	353419	20716844124	58618.3655208124	33438	119112	26	817821	69761.1268609127	262311	20366023529	69728	12088390712	0	0	14.6754602561921	14.7734716492341	53.1273574007854
HG03732	20220503_220427_21-lee-006_PC24B149_3F	554906	35534413317	64036.8158156517	34975	134627	19	930580	77314.966129659	414541	34990954729	123784	22557156021	0	0	15.153112702731	15.3361167188737	54.6777030191385
HG03732	20220425_220420_21-lee-006_PC24B149_3E	795751	49941453936	62760.1522787907	34672	131280	38	1309320	75622.2296250079	586858	49159020421	174282	31288396572	1	1309320	15.2226884552536	15.4069663453291	56.4607704609504
NA19239	20220510_220504_21-lee-006_PC24B149_3F	887639	69516545438	78316.2360351449	44747	160238	21	1218655	91551.5208575975	687053	68723222634	252785	49394173086	5	5733995	15.5122736504158	15.7639711716865	60
NA19239	20220515_220510_21-lee-006_PC24B149_3F	308430	20653287556	66962.6416237072	32526	151346	35	1092354	84715.9990651151	220141	20309057562	73859	14111179181	1	1092354	15.9462502159016	16.2644868764661	49.8271564515654
NA19239	20220517_220511_21-lee-006_PC24B149_3F	468333	37254984650	79548.0665466666	47984	157657	25	1015345	89040.7853340534	368198	36858270052	138471	26479509231	1	1015345	15.8566071184764	16.1377399792912	54.405171880711
NA19317	20210629_210623_21-lee-006_PCT0053_2-A9-D9	1030943	53948831910	52329.5971843254	16964	142858	10	1008018	76055.7228499263	579782	52909041484	196959	36059890801	1	1008018	13.7167330638643	13.6941828999419	52.1605712595778
NA19317	20220208_220126_21-lee-006_PC24B149_1G	1637242	56148380782	34294.4908461913	16607	77051	83	777455	47195.7782218502	1025357	53646050886	138510	21971404003	0	0	14.6877886594262	14.6707939172839	56.1671093869935
NA19317	20210802_210721_21-lee-006_PCT0053_2-A7-D7	1362821	76902485370	56428.896656274	23135	140969	11	1237542	77191.0107068845	832659	75563852866	280838	51095907031	5	5346509	14.3330033480263	14.3761967587401	58.0262460883311
NA19347	20210624_210616_21-lee-006_PCT0053_2-A9-D9	1172383	68648902737	58555.013794127	29241	132174	13	1082868	75695.8619324182	791348	67562408676	242394	43522961020	2	2101337	14.04420982796	14.0995127869137	60
NA19347	20220215_220209_21-lee-006_PC24B149_3F	1253333	57951781943	46238.1361880681	28927	88817	14	775109	50215.0791614229	913356	56604765285	170616	25112844510	0	0	15.2847659399693	15.4843687731477	48.2539223629297
NA19347	20210819_210810_21-lee-006_PCT0053_2-A1-D1	1327713	71387743872	53767.4511524705	30714	109825	18	972304	63964.0279277618	959047	70074816034	236060	39094420703	0	0	14.2140635892074	14.2887618916269	51.4081029458571
NA19384	20210816_210803_21-lee-006_GXB02036_002	359357	20995445472	58425.0354716897	28958	132049	16	995196	75001.335209418	246616	20634410641	73432	13215074452	0	0	15.1943119517727	15.4104036358807	43.1689397977512
NA19384	20210816_210804_21-lee-006_PCT0053_2-A9-D9	1031818	70093804955	67932.3339532747	38872	139918	15	1069948	80348.7168527421	769461	69211238763	253378	46262749510	2	2133366	13.8115170584005	13.8686617122347	50.2526652656656
NA19384	20210820_210810_21-lee-006_PCT0053_2-A9-D9	1211485	73159028255	60387.8944064516	29848	137542	14	1559406	77491.0366488513	822139	72042250942	262429	47599801382	2	2681110	13.3360738981505	13.2774915320852	53.1790642240878
NA19650	20220220_220216_21-lee-006_PC24B149_1E	385372	24538993925	63676.1205406724	24925	165413	61	1637516	92052.2865829405	250680	24071633531	83100	17147475666	9	10332708	15.725558246989	15.9930812727346	46.2928162311878
NA19650	20220215_220209_21-lee-006_PC24B149_2G	829943	53165211771	64058.8712369404	31368	145481	35	1214855	81747.3777649911	575729	52243685011	189296	35519991617	5	5311500	15.2316736097012	15.428045987332	54.413471629566
NA19650	20220223_220218_21-lee-006_PC24B149_1E	695247	31299729695	45019.5825296621	22401	97858	13	1533396	64313.3345562675	474186	30376824139	84246	15362871125	10	11274208	15.0292405953778	15.1510383794273	59.7034565246318
NA20509	20220408_220405_21-lee-006_PC24B149_3C	741539	45340232563	61143.4227505229	27730	145309	22	1261525	79593.3617839479	481861	44497118581	166008	30584012572	2	2443840	14.9600624148711	15.1306231386821	56.2826726103199
NA20509	20220419_220412_21lee-006_PC24B149_1D	820090	42251699376	51520.8079308369	21123	129041	71	957724	71549.4076487131	509951	41216342681	143981	25924334704	0	0	15.1023079664999	15.263539144407	52.4440729506514
NA20509	20220412_220407_21-lee-006_PC24B149_3C	27167	1525342783	56146.8981852983	22894	139086	219	1539757	77249.27295313	16776	1494057340	5477	1000072244	1	1539757	14.4208754190377	14.5092661763975	24.4532648119065
HG00268	20210903_210825_21-lee-006_PCT0053_2-A1-D1	1819877	88001105440	48355.5237194602	7738	171809	12	1195662	85203.440600973	848841	85396578417	304879	63108804427	12	12905510	14.4115117347066	14.5126379000467	52.5460891442689
HG00268	20210913_210831_21-lee-006_PCT0053_2-A1-D1	1555309	69697959358	44812.9338658749	6438	165568	19	3849855	81087.204447347	689935	67490927338	241344	49082807260	10	13287929	14.3225343880104	14.3512068678739	55.1757600610876
HG01457	20210727_210713_21-lee-006_PCT0053_2-A9-D9	1407800	95421232427	67780.3895631482	38022	142888	8	1169265	79754.6985631284	1035590	94231627054	351397	63918686966	4	4334540	14.2112706940666	14.2770179500116	52.0096135158771
HG01457	20211022_211012_21-lee-006_PCT0053_2-A5-D5	958941	71292115911	74344.6321629798	26592	196303	14	1945346	105890.409573945	597694	70258841121	252135	55054139387	38	43605192	14.2531057532902	14.2936765759121	52.7985819257803
HG01890	20220210_220202_21-lee-006_PC24B149_2E	1003087	69539150517	69325.1437980953	32633	160279	15	1504770	92542.9878001389	692948	68447741074	242360	48718762502	10	11041557	15.0407164537511	15.1608267496061	47.6687487919248
HG01890	20220215_220209_21-lee-006_PC24B149_1F	782368	51400484760	65698.6031637286	28083	159698	31	1288781	90164.9564623474	509425	50526532270	181960	36134637569	11	11833226	15.1904497882627	15.3653520649857	57.2695815353644
HG02106	20210920_210908_21-lee-006_PCT0053_2-A1-D1	906241	76333877161	84231.3216473322	44527	183110	9	1264991	103487.254227511	684255	75542655719	271462	57231253986	17	18935781	14.0680775666773	14.0560762497967	52.4286252193043
HG02106	20210927_210915_21-lee-006_PCT0053_2-A1-D1	785195	60898824127	77558.853694942	38016	176515	17	1236389	99147.3344812661	569443	60168884251	215683	44783062851	18	19150515	14.0493620377538	14.0086435111382	58.7227272667418
